"Top 1000 values of CMMAC_split","Top 1000 values of RemoteMac_split","Last value of RadioConditions_split"
"d8:9c:8e:00:2c:51","5C:22:DA:3D:04:AF",FAIR
"d8:9c:8e:00:2c:65","1C:9E:CC:07:66:71",POOR
"d8:9c:8e:00:2c:6a","10:A7:93:05:A5:58",EXCELLENT
"d8:9c:8e:00:2c:6f","48:4B:D4:54:69:56",POOR
"d8:9c:8e:00:2c:74","F8:5E:42:E8:3C:44",POOR
"d8:9c:8e:00:2c:88","64:67:72:8F:60:3E",POOR
"d8:9c:8e:00:2c:92","70:13:01:66:B8:1C",POOR
"d8:9c:8e:00:2c:b0","64:67:72:8F:5A:72",POOR
"d8:9c:8e:00:2c:d3","1C:9E:CC:21:BE:1C",POOR
"d8:9c:8e:00:2c:e7","40:75:C3:E7:CD:E4",POOR
"d8:9c:8e:00:2c:ec","A0:FF:70:FE:07:43",POOR
"d8:9c:8e:00:2c:fb","08:A7:C0:3D:0E:F2",POOR
"d8:9c:8e:00:2d:0f","1C:9D:72:FD:F2:4C",FAIR
"d8:9c:8e:00:2d:2d","E0:DB:D1:E9:B1:E4",POOR
"d8:9c:8e:00:2d:46","D4:E2:CB:9D:D6:DC",EXCELLENT
"d8:9c:8e:00:2d:4b","64:67:72:8F:6D:2D",POOR
"d8:9c:8e:00:2d:7d","98:9D:5D:88:03:3F",GOOD
"d8:9c:8e:00:2d:87","00:CB:7A:C7:4D:D8",UNAVAILABLE
"d8:9c:8e:00:2d:9b","58:96:30:3F:BD:85",POOR
"d8:9c:8e:00:2d:b9","5C:22:DA:3C:EE:27",GOOD
"d8:9c:8e:00:2d:d7","F8:79:0A:3C:A3:0B",FAIR
"d8:9c:8e:00:2d:eb","1C:9E:CC:21:94:D4",EXCELLENT
"d8:9c:8e:00:2d:f0","D4:E2:CB:D1:49:A0",POOR
"d8:9c:8e:00:2d:ff","C4:50:9C:83:67:CC",POOR
"d8:9c:8e:00:2e:04","1C:9E:CC:21:A7:7C",POOR
"d8:9c:8e:00:2e:36","10:36:AA:67:E0:6C",FAIR
"d8:9c:8e:00:2e:54","64:67:72:AF:18:97",FAIR
"d8:9c:8e:00:2e:63","1C:9E:CC:21:B8:84",POOR
"d8:9c:8e:00:2e:77","58:96:30:3F:BE:7A",GOOD
"d8:9c:8e:00:2e:8b","5C:22:DA:3C:E4:4F",POOR
"d8:9c:8e:00:2e:95","70:13:01:C6:2B:EC",FAIR
"d8:9c:8e:00:2e:a9","80:DA:C2:95:6C:4C",POOR
"d8:9c:8e:00:2e:bd","80:DA:C2:F2:4D:80",POOR
"d8:9c:8e:00:2e:e0","64:67:72:8F:61:9C",POOR
"d8:9c:8e:00:2e:f9","E4:BF:FA:B8:96:6B",EXCELLENT
"d8:9c:8e:00:2f:1c","64:67:72:8F:68:79",POOR
"d8:9c:8e:00:2f:26","5C:22:DA:3C:CB:B3",FAIR
"d8:9c:8e:00:2f:4e","3C:82:C0:04:40:2C",GOOD
"d8:9c:8e:00:2f:6c","AC:4C:A5:AA:A7:B8",POOR
"d8:9c:8e:00:2f:7b","64:67:72:8F:5B:D0",GOOD
"d8:9c:8e:00:2f:99","3C:82:C0:03:EF:CC",POOR
"d8:9c:8e:00:2f:a3","1C:9E:CC:21:A8:DC",FAIR
"d8:9c:8e:00:2f:ad","80:DA:C2:80:88:FC",POOR
"d8:9c:8e:00:2f:bc","A8:70:5D:D7:56:04",GOOD
"d8:9c:8e:00:2f:c1","C4:4F:D5:85:4E:14",POOR
"d8:9c:8e:00:2f:cb","88:9E:68:E1:DB:3F",POOR
"d8:9c:8e:00:2f:e9","64:67:72:8F:6B:BA",GOOD
"d8:9c:8e:00:2f:fd","40:75:C3:EF:34:34",GOOD
"d8:9c:8e:00:30:0c","A0:FF:70:CF:A9:4E",GOOD
